OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
OTU97_7106;size=2	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Sebacinales	Sebacinales		Sebacinales												
OTU97_2395;size=43	Fungi	Fungi	Fungi	Fungi			Basidiomycota	Basidiomycota																				
OTU97_6122;size=4	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_2970;size=64	Fungi	Fungi	Fungi	Fungi																								
OTU97_4699;size=27	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes	Agaricales	Agaricales		Agaricales	Marasmiaceae	Marasmiaceae		Marasmiaceae		Chaetocalathus		Chaetocalathus		Chaetocalathus liliputianus 		Chaetocalathus liliputianus 
OTU97_5677;size=5	Fungi	Fungi	Fungi	Fungi																								
OTU97_979;size=387	Fungi	Fungi	Fungi	Fungi																								
OTU97_143;size=4010	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Microbotryomycetes	Sporidiobolales	Sporidiobolales		Sporidiobolales	Sporidiobolaceae	Sporidiobolaceae		Sporidiobolaceae	Rhodotorula	Rhodotorula		Rhodotorula				
OTU97_1652;size=294	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Eurotiomycetes	Eurotiomycetes		Eurotiomycetes	Chaetothyriales	Chaetothyriales		Chaetothyriales	Herpotrichiellaceae	Herpotrichiellaceae		Herpotrichiellaceae		Veronaea		Veronaea		Veronaea compacta 		Veronaea compacta 
OTU97_4746;size=20	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_2922;size=29	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Eurotiomycetes		Eurotiomycetes																
OTU97_7070;size=2		Fungi	Fungi	Fungi																								
OTU97_5000;size=26	Fungi	Fungi	Fungi	Fungi		Ascomycota	Ascomycota	Ascomycota		Sordariomycetes	Sordariomycetes	Sordariomycetes		Hypocreales		Hypocreales												
OTU97_5100;size=21	Fungi	Fungi	Fungi	Fungi																								
OTU97_932;size=235	Fungi	Fungi	Fungi	Fungi																								
OTU97_426;size=754	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Chaetosphaeriales	Chaetosphaeriales		Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeriaceae		Chaetosphaeriaceae	Tainosphaeria	Tainosphaeria		Tainosphaeria	Tainosphaeria sp 	Tainosphaeria sp 		Tainosphaeria sp 
OTU97_2276;size=94	Fungi	Fungi	Fungi	Fungi																								
OTU97_479;size=511	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes		Phallales		Phallales		Phallaceae		Phallaceae		Phallus		Phallus		Phallus sp 		Phallus sp 
OTU97_3455;size=25	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
OTU97_2694;size=34	Fungi	Fungi	Fungi	Fungi																								
OTU97_6331;size=3	Fungi	Fungi	Fungi	Fungi																								
OTU97_3278;size=22	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes		Hymenochaetales		Hymenochaetales		Schizoporaceae		Schizoporaceae		Hyphodontia		Hyphodontia		Hyphodontia subdetritica 		Hyphodontia subdetritica 
OTU97_2180;size=82	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes	Hypocreales	Hypocreales		Hypocreales	Nectriaceae	Nectriaceae		Nectriaceae		Ilyonectria		Ilyonectria		Ilyonectria destructans 		Ilyonectria destructans 
OTU97_5406;size=6	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes																
OTU97_2955;size=180	Fungi	Fungi	Fungi	Fungi																								
OTU97_4767;size=8	Fungi	Fungi	Fungi	Fungi																								
OTU97_169;size=2327	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_5600;size=5	Fungi	Fungi	Fungi	Fungi																								
OTU97_2351;size=185	Fungi	Fungi	Fungi	Fungi																								
OTU97_697;size=281	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Glomerellales	Glomerellales		Glomerellales		Plectosphaerellaceae		Plectosphaerellaceae								
OTU97_820;size=234	Fungi	Fungi	Fungi	Fungi																								
OTU97_2331;size=193	Fungi	Fungi	Fungi	Fungi	Ascomycota			Ascomycota																				
OTU97_1869;size=88	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Sordariomycetes	Sordariomycetes		Sordariomycetes		Sordariales		Sordariales												
OTU97_916;size=201	Fungi	Fungi	Fungi	Fungi																								
OTU97_6319;size=3	Fungi	Fungi	Fungi	Fungi																								
OTU97_1307;size=125	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota		Dothideomycetes		Dothideomycetes		Pleosporales		Pleosporales		Didymellaceae		Didymellaceae								
OTU97_887;size=275	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_1858;size=73	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes																
OTU97_3865;size=20	Fungi	Fungi	Fungi	Fungi																								
OTU97_5163;size=7	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
OTU97_3828;size=22	Fungi	Fungi	Fungi	Fungi																								
OTU97_6312;size=6	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_4380;size=10	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Sordariomycetes		Sordariomycetes																
OTU97_3997;size=22	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota		Basidiomycota	Agaricomycetes	Agaricomycetes		Agaricomycetes																
OTU97_3819;size=14	Fungi	Fungi	Fungi	Fungi																								
