OTU_ID	Kingdom_RDP	Kingdom_SINTAX	Kingdom_UTAX	Kingdom_Consensus	Phylum_RDP	Phylum_SINTAX	Phylum_UTAX	Phylum_Consensus	Class_RDP	Class_SINTAX	Class_UTAX	Class_Consensus	Order_RDP	Order_SINTAX	Order_UTAX	Order_Consensus	Family_RDP	Family_SINTAX	Family_UTAX	Family_Consensus	Genus_RDP	Genus_SINTAX	Genus_UTAX	Genus_Consensus	Species_RDP	Species_SINTAX	Species_UTAX	Species_Consensus
esv_3780	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Periconiaceae	Periconiaceae		Periconiaceae	Periconia	Periconia		Periconia	Periconia sp 	Periconia sp 		Periconia sp 
esv_3789	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota		Eurotiomycetes		Eurotiomycetes		Chaetothyriales		Chaetothyriales												
esv_3788	Fungi	Fungi	Fungi	Fungi																								
esv_4209	Fungi	Fungi	Fungi	Fungi																								
esv_4207	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Capnodiales	Capnodiales		Capnodiales	Cladosporiaceae	Cladosporiaceae		Cladosporiaceae	Cladosporium	Cladosporium		Cladosporium		Cladosporium dominicanum 		Cladosporium dominicanum 
esv_4204	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_4203	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota		Orbiliomycetes		Orbiliomycetes		Orbiliales		Orbiliales		Orbiliaceae		Orbiliaceae		Dactylellina		Dactylellina		Dactylellina arcuata 		Dactylellina arcuata 
esv_4202	Fungi	Fungi	Fungi	Fungi																								
esv_4201	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota	Dothideomycetes	Dothideomycetes		Dothideomycetes	Pleosporales	Pleosporales		Pleosporales	Dictyosporiaceae	Dictyosporiaceae		Dictyosporiaceae	Dictyosporium	Dictyosporium		Dictyosporium				
esv_4200	Fungi	Fungi	Fungi	Fungi																								
esv_6762	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_6763	Fungi	Fungi	Fungi	Fungi																								
esv_3439	Fungi	Fungi	Fungi	Fungi																								
esv_3438	Fungi	Fungi	Fungi	Fungi		Glomeromycota		Glomeromycota																				
esv_3435	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_3434	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_3437	Fungi	Fungi	Fungi	Fungi																								
esv_3436	Fungi	Fungi	Fungi	Fungi																								
esv_3430	Fungi	Fungi	Fungi	Fungi																								
esv_3433	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_3432	Fungi	Fungi	Fungi	Fungi		Ascomycota		Ascomycota																				
esv_6764	Fungi	Fungi	Fungi	Fungi																								
esv_8710	Fungi	Fungi	Fungi	Fungi																								
esv_6765	Fungi	Fungi	Fungi	Fungi																								
esv_6314	Fungi	Fungi	Fungi	Fungi																								
esv_9494	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota		Ascomycota																				
esv_6313	Fungi	Fungi	Fungi	Fungi																								
esv_6312	Fungi	Fungi	Fungi	Fungi																								
esv_6831	Fungi	Fungi	Fungi	Fungi																								
esv_6311	Fungi	Fungi	Fungi	Fungi																								
esv_6310	Fungi	Fungi	Fungi	Fungi																								
